,Car Name,Overall
72,Audi Q5 Premium Plus,"['Average economy', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
73,Audi Q5 Premium Plus,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
74,Audi Q5 Premium Plus Titanium,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
75,Audi Q5 Premium Titanium,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
76,Audi Q5 Prestige,"['Average economy', 'Expensive', 'Average Sized Engine', 'High power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
77,Audi Q5 Prestige,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
78,Audi Q5 Prestige Titanium,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
79,Audi Q7 Premium,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
80,Audi Q7 Premium,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
81,Audi Q7 Premium Plus,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
82,Audi Q7 Premium Plus,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
83,Audi Q7 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
84,Audi Q8 Premium,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
85,Audi Q8 Premium Plus,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
86,Audi Q8 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
87,Audi R8 Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Coupe']"
88,Audi R8 performance,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Coupe']"
89,Audi R8 performance Spyder,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
90,Audi R8 Spyder,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
91,Audi RS 3 Base,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
92,Audi RS Q8 Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
93,Audi S3 Premium,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
94,Audi S3 Premium Plus,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
95,Audi S4 Premium,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
96,Audi S4 Premium Plus,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
97,Audi S4 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
98,Audi S5 Premium,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
99,Audi S5 Premium,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
100,Audi S5 Premium,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
101,Audi S5 Premium Plus,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
102,Audi S5 Premium Plus,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
103,Audi S5 Premium Plus,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
104,Audi S5 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
105,Audi S5 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'Hatchback']"
106,Audi S5 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
107,Audi S6 Premium Plus,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
108,Audi S6 Prestige,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
109,Audi S7 Premium Plus,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
110,Audi S7 Prestige,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
111,Audi S8 Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
112,Audi SQ7 Premium Plus,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
113,Audi SQ7 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '7-seater', 'automatic', 'SUV']"
114,Audi SQ8 Premium Plus,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
115,Audi SQ8 Prestige,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
116,Audi TT Base,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
117,Audi TT Base,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '2-seater', 'automatic', 'Convertible']"
118,Audi TT RS Base,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
119,Audi TTS Base,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
120,Bentley Bentayga Hybrid,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
121,Bentley Bentayga Speed,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
122,Bentley Bentayga V8,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '5-doored', '5-seater', 'automatic', 'SUV']"
123,Bentley Continental GT,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
124,Bentley Continental GT,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
125,Bentley Continental GT V8,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Long range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
126,Bentley Continental GT V8,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Long range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
127,Bentley Flying Spur W12,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
128,Bentley Mulsanne Base,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
129,Bentley Mulsanne Speed,"['Uneconomical', 'Expensive', 'Larger Engine', 'Very high power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
130,BMW 2 Series 230i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
131,BMW 2 Series 230i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
132,BMW 2 Series 230i xDrive,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
133,BMW 2 Series 230i xDrive,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
134,BMW 2 Series M2 Competition,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'manual', 'Coupe']"
135,BMW 2 Series M2 CS,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'manual', 'Coupe']"
136,BMW 2 Series M240i,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
137,BMW 2 Series M240i,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
138,BMW 2 Series M240i xDrive,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
139,BMW 2 Series M240i xDrive,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
140,BMW 2 Series Gran Coupe 228i xDrive,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
141,BMW 2 Series Gran Coupe M235i xDrive,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
142,BMW 3 Series 330i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
143,BMW 3 Series 330i xDrive,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
144,BMW 3 Series M340i,"['Uneconomical', 'Average Priced', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
145,BMW 3 Series M340i xDrive,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
146,BMW 4 Series 430i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
147,BMW 4 Series 430i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
148,BMW 4 Series 430i xDrive,"['Average economy', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
149,BMW 4 Series 430i xDrive,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
150,BMW 4 Series 440i,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
151,BMW 4 Series 440i,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
152,BMW 4 Series 440i xDrive,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
153,BMW 4 Series 440i xDrive,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Convertible']"
154,BMW 4 Series M4,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'automatic', 'Coupe']"
155,BMW 4 Series M4,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'manual', 'Convertible']"
156,BMW 4 Series M4,"['Uneconomical', 'Expensive', 'Larger Engine', 'High power', 'Average range', 'Unleaded', '2-doored', '4-seater', 'manual', 'Coupe']"
157,BMW 4 Series Gran Coupe 430i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
158,BMW 4 Series Gran Coupe 430i xDrive,"['Uneconomical', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
159,BMW 4 Series Gran Coupe 440i,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
160,BMW 4 Series Gran Coupe 440i xDrive,"['Uneconomical', 'Average Priced', 'Larger Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
161,BMW 5 Series 530e,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
162,BMW 5 Series 530e xDrive,"['Uneconomical', 'Expensive', 'Average Sized Engine', 'Average power', 'Average range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
163,BMW 5 Series 530i,"['Average economy', 'Average Priced', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
164,BMW 5 Series 530i xDrive,"['Average economy', 'Expensive', 'Average Sized Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
165,BMW 5 Series 540i,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
166,BMW 5 Series 540i xDrive,"['Uneconomical', 'Expensive', 'Larger Engine', 'Average power', 'Long range', 'Unleaded', '4-doored', '5-seater', 'automatic', 'Saloon']"
