,Car Name,Trim Msrp,Engine Fuel Type,Engine Size,Engine Horsepower Hp,Engine Torque Ft Lbs,Engine Drive Type,Engine Transmission,Body Type,Body Doors,Body Seats,Mileage Fuel Tank Capacity,Mileage Combined Mpg,Mileage Epa City Mpg,Mileage Epa Highway Mpg,Mileage Range City,Mileage Range Highway
46,Audi A5 Premium Plus,53700,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Convertible,2,4,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
47,Audi A5 Premium Plus,46700,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Coupe,2,4,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
48,Audi A5 Prestige,52600,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Hatchback,5,5,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
49,Audi A5 Prestige,52600,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Coupe,2,4,57.910500000000006,32.4,28.799999999999997,38.4,367.2,489.6
50,Audi A5 Prestige,59600,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Convertible,2,4,57.910500000000006,31.2,27.599999999999998,37.199999999999996,351.9,474.3
51,Audi A6 Premium,54900,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Saloon,4,5,73.0505,32.4,28.799999999999997,38.4,463.2,617.6
52,Audi A6 Premium,59800,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,73.0505,28.799999999999997,26.4,34.8,424.6,559.7
53,Audi A6 Premium Plus,58600,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Saloon,4,5,73.0505,32.4,28.799999999999997,38.4,463.2,617.6
54,Audi A6 Premium Plus,63500,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,73.0505,28.799999999999997,26.4,34.8,424.6,559.7
55,Audi A6 Prestige,69700,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,73.0505,28.799999999999997,26.4,34.8,424.6,559.7
56,Audi A6 Prestige,64800,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,Saloon,4,5,73.0505,32.4,28.799999999999997,38.4,463.2,617.6
57,Audi A6 allroad Premium Plus,65900,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Estate,5,5,73.0505,26.4,24.0,31.2,386.0,501.8
58,Audi A6 allroad Prestige,70400,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Estate,5,5,73.0505,26.4,24.0,31.2,386.0,501.8
59,Audi A7 Premium,69000,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,73.0505,28.799999999999997,26.4,34.8,424.6,559.7
60,Audi A7 Premium Plus,73600,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,73.0505,28.799999999999997,26.4,34.8,424.6,559.7
61,Audi A7 Prestige,79700,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,73.0505,28.799999999999997,26.4,34.8,424.6,559.7
62,Audi A8 L,96800,Unleaded,4.0,453.0,487.0,all wheel drive,automatic,Saloon,4,5,82.1345,21.599999999999998,18.0,27.599999999999998,325.5,499.1
63,Audi A8 L,94000,Unleaded,3.0,443.0,516.0,all wheel drive,automatic,Saloon,4,5,65.102,27.599999999999998,25.2,32.4,361.2,464.4
64,Audi A8 L,85200,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Saloon,4,5,82.1345,25.2,20.4,31.2,368.9,564.2
65,Audi Q3 Premium,34700,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,SUV,5,5,60.18150000000001,26.4,22.8,32.4,302.1,429.3
66,Audi Q3 Premium Plus,37800,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,SUV,5,5,60.18150000000001,26.4,22.8,32.4,302.1,429.3
67,Audi Q3 Premium Plus S line,39100,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,SUV,5,5,60.18150000000001,26.4,22.8,32.4,302.1,429.3
68,Audi Q3 Premium S line,36000,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,SUV,5,5,60.18150000000001,26.4,22.8,32.4,302.1,429.3
69,Audi Q3 Prestige S line,42900,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,SUV,5,5,60.18150000000001,26.4,22.8,32.4,302.1,429.3
70,Audi Q5 Premium,43300,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,5,70.02250000000001,28.799999999999997,26.4,33.6,407.0,518.0
71,Audi Q5 Premium,52900,Unleaded,2.0,362.0,369.0,all wheel drive,automatic,SUV,5,5,57.910500000000006,32.4,30.0,34.8,382.5,443.7
72,Audi Q5 Premium Plus,56600,Unleaded,2.0,362.0,369.0,all wheel drive,automatic,SUV,5,5,57.910500000000006,32.4,30.0,34.8,382.5,443.7
73,Audi Q5 Premium Plus,49950,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,5,70.02250000000001,28.799999999999997,26.4,33.6,407.0,518.0
74,Audi Q5 Premium Plus Titanium,51350,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,5,70.02250000000001,28.799999999999997,26.4,33.6,407.0,518.0
75,Audi Q5 Premium Titanium,48000,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,5,70.02250000000001,28.799999999999997,26.4,33.6,407.0,518.0
76,Audi Q5 Prestige,60350,Unleaded,2.0,362.0,369.0,all wheel drive,automatic,SUV,5,5,57.910500000000006,32.4,30.0,34.8,382.5,443.7
77,Audi Q5 Prestige,53700,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,5,70.02250000000001,28.799999999999997,26.4,33.6,407.0,518.0
78,Audi Q5 Prestige Titanium,55800,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,5,70.02250000000001,28.799999999999997,26.4,33.6,407.0,518.0
79,Audi Q7 Premium,54800,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,25.2,22.8,27.599999999999998,427.5,517.5
80,Audi Q7 Premium,60800,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,21.599999999999998,20.4,25.2,382.5,472.5
81,Audi Q7 Premium Plus,57200,Unleaded,2.0,248.0,273.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,25.2,22.8,27.599999999999998,427.5,517.5
82,Audi Q7 Premium Plus,63800,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,21.599999999999998,20.4,25.2,382.5,472.5
83,Audi Q7 Prestige,71200,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,21.599999999999998,20.4,25.2,382.5,472.5
84,Audi Q8 Premium,68200,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,21.599999999999998,20.4,25.2,382.5,472.5
85,Audi Q8 Premium Plus,72200,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,21.599999999999998,20.4,25.2,382.5,472.5
86,Audi Q8 Prestige,77700,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,21.599999999999998,20.4,25.2,382.5,472.5
87,Audi R8 Base,169900,Unleaded,5.2,562.0,406.0,all wheel drive,automatic,Coupe,2,2,82.8915,19.2,15.6,24.0,284.7,438.0
88,Audi R8 performance,195900,Unleaded,5.2,602.0,413.0,all wheel drive,automatic,Coupe,2,2,73.0505,19.2,15.6,24.0,250.9,386.0
89,Audi R8 performance Spyder,208100,Unleaded,5.2,602.0,413.0,all wheel drive,automatic,Convertible,2,2,73.0505,19.2,15.6,24.0,250.9,386.0
90,Audi R8 Spyder,182100,Unleaded,5.2,562.0,406.0,all wheel drive,automatic,Convertible,2,2,79.8635,19.2,15.6,24.0,274.3,422.0
91,Audi RS 3 Base,56200,Unleaded,2.5,394.0,354.0,all wheel drive,automatic,Saloon,4,5,54.8825,27.599999999999998,22.8,33.6,275.5,406.0
92,Audi RS Q8 Base,113000,Unleaded,4.0,591.0,590.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,18.0,15.6,22.8,292.5,427.5
93,Audi S3 Premium,43000,Unleaded,2.0,288.0,280.0,all wheel drive,automatic,Saloon,4,5,54.8825,30.0,26.4,34.8,319.0,420.5
94,Audi S3 Premium Plus,45600,Unleaded,2.0,288.0,280.0,all wheel drive,automatic,Saloon,4,5,54.8825,30.0,26.4,34.8,319.0,420.5
95,Audi S4 Premium,49900,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
96,Audi S4 Premium Plus,52400,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
97,Audi S4 Prestige,58350,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Saloon,4,5,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
98,Audi S5 Premium,51900,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Coupe,2,4,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
99,Audi S5 Premium,51900,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Hatchback,5,5,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
100,Audi S5 Premium,60200,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Convertible,2,4,57.910500000000006,26.4,22.8,31.2,290.7,397.8
101,Audi S5 Premium Plus,54400,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Coupe,2,4,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
102,Audi S5 Premium Plus,54400,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Hatchback,5,5,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
103,Audi S5 Premium Plus,62700,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Convertible,2,4,57.910500000000006,26.4,22.8,31.2,290.7,397.8
104,Audi S5 Prestige,60300,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Coupe,2,4,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
105,Audi S5 Prestige,60300,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Hatchback,5,5,57.910500000000006,27.599999999999998,24.0,32.4,306.0,413.1
106,Audi S5 Prestige,68600,Unleaded,3.0,349.0,369.0,all wheel drive,automatic,Convertible,2,4,57.910500000000006,26.4,22.8,31.2,290.7,397.8
107,Audi S6 Premium Plus,73900,Unleaded,2.9,444.0,443.0,all wheel drive,automatic,Saloon,4,5,73.0505,26.4,21.599999999999998,33.6,347.4,540.4
108,Audi S6 Prestige,79600,Unleaded,2.9,444.0,443.0,all wheel drive,automatic,Saloon,4,5,73.0505,26.4,21.599999999999998,33.6,347.4,540.4
109,Audi S7 Premium Plus,83900,Unleaded,2.9,444.0,443.0,all wheel drive,automatic,Saloon,4,5,73.0505,26.4,21.599999999999998,33.6,347.4,540.4
110,Audi S7 Prestige,89500,Unleaded,2.9,444.0,443.0,all wheel drive,automatic,Saloon,4,5,73.0505,26.4,21.599999999999998,33.6,347.4,540.4
111,Audi S8 Base,129500,Unleaded,4.0,563.0,590.0,all wheel drive,automatic,Saloon,4,5,82.1345,19.2,15.6,26.4,282.1,477.4
112,Audi SQ7 Premium Plus,84800,Unleaded,4.0,500.0,568.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,20.4,18.0,25.2,337.5,472.5
113,Audi SQ7 Prestige,90400,Unleaded,4.0,500.0,568.0,all wheel drive,automatic,SUV,5,7,85.16250000000001,20.4,18.0,25.2,337.5,472.5
114,Audi SQ8 Premium Plus,89000,Unleaded,4.0,500.0,568.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,20.4,18.0,25.2,337.5,472.5
115,Audi SQ8 Prestige,94500,Unleaded,4.0,500.0,568.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,20.4,18.0,25.2,337.5,472.5
116,Audi TT Base,45500,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,Coupe,2,4,54.8825,31.2,27.599999999999998,37.199999999999996,333.5,449.5
117,Audi TT Base,49000,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,Convertible,2,2,54.8825,31.2,27.599999999999998,37.199999999999996,333.5,449.5
118,Audi TT RS Base,67600,Unleaded,2.5,394.0,354.0,all wheel drive,automatic,Coupe,2,4,54.8825,27.599999999999998,22.8,34.8,275.5,420.5
119,Audi TTS Base,54500,Unleaded,2.0,288.0,280.0,all wheel drive,automatic,Coupe,2,4,54.8825,30.0,27.599999999999998,34.8,333.5,420.5
120,Bentley Bentayga Hybrid,156900,Unleaded,3.0,443.0,516.0,all wheel drive,automatic,SUV,5,5,74.94300000000001,22.8,20.4,25.2,336.6,415.8
121,Bentley Bentayga Speed,235700,Unleaded,6.0,626.0,664.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,16.8,14.399999999999999,20.4,270.0,382.5
122,Bentley Bentayga V8,165000,Unleaded,4.0,542.0,568.0,all wheel drive,automatic,SUV,5,5,85.16250000000001,20.4,16.8,27.599999999999998,315.0,517.5
123,Bentley Continental GT,240800,Unleaded,6.0,626.0,664.0,all wheel drive,automatic,Convertible,2,4,90.08300000000001,18.0,14.399999999999999,22.8,285.6,452.2
124,Bentley Continental GT,218900,Unleaded,6.0,626.0,664.0,all wheel drive,automatic,Coupe,2,4,90.08300000000001,18.0,14.399999999999999,24.0,285.6,476.0
125,Bentley Continental GT V8,202500,Unleaded,4.0,542.0,568.0,all wheel drive,automatic,Coupe,2,4,90.08300000000001,22.8,19.2,31.2,380.8,618.8
126,Bentley Continental GT V8,222700,Unleaded,4.0,542.0,568.0,all wheel drive,automatic,Convertible,2,4,90.08300000000001,22.8,19.2,31.2,380.8,618.8
127,Bentley Flying Spur W12,214600,Unleaded,6.0,626.0,664.0,all wheel drive,automatic,Saloon,4,5,90.08300000000001,18.0,14.399999999999999,22.8,285.6,452.2
128,Bentley Mulsanne Base,304670,Unleaded,6.8,505.0,752.0,rear wheel drive,automatic,Saloon,4,5,96.139,14.399999999999999,12.0,19.2,254.0,406.4
129,Bentley Mulsanne Speed,335600,Unleaded,6.8,530.0,811.0,rear wheel drive,automatic,Saloon,4,5,96.139,14.399999999999999,12.0,19.2,254.0,406.4
130,BMW 2 Series 230i,41100,Unleaded,2.0,248.0,258.0,rear wheel drive,automatic,Convertible,2,4,51.8545,32.4,27.599999999999998,40.8,315.1,465.8
131,BMW 2 Series 230i,35300,Unleaded,2.0,248.0,258.0,rear wheel drive,automatic,Coupe,2,4,51.8545,32.4,28.799999999999997,38.4,328.8,438.4
132,BMW 2 Series 230i xDrive,37300,Unleaded,2.0,248.0,258.0,all wheel drive,automatic,Coupe,2,4,51.8545,28.799999999999997,25.2,37.199999999999996,287.7,424.7
133,BMW 2 Series 230i xDrive,43100,Unleaded,2.0,248.0,258.0,all wheel drive,automatic,Convertible,2,4,51.8545,32.4,25.2,37.199999999999996,287.7,424.7
134,BMW 2 Series M2 Competition,58900,Unleaded,3.0,405.0,406.0,rear wheel drive,manual,Coupe,2,4,51.8545,24.0,21.599999999999998,30.0,246.6,342.5
135,BMW 2 Series M2 CS,83600,Unleaded,3.0,444.0,406.0,rear wheel drive,manual,Coupe,2,4,51.8545,24.0,20.4,28.799999999999997,232.9,328.8
136,BMW 2 Series M240i,45800,Unleaded,3.0,335.0,369.0,rear wheel drive,automatic,Coupe,2,4,51.8545,30.0,26.4,36.0,301.4,411.0
137,BMW 2 Series M240i,50400,Unleaded,3.0,335.0,369.0,rear wheel drive,automatic,Convertible,2,4,51.8545,30.0,26.4,36.0,301.4,411.0
138,BMW 2 Series M240i xDrive,47800,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Coupe,2,4,51.8545,30.0,26.4,36.0,301.4,411.0
139,BMW 2 Series M240i xDrive,52400,Unleaded,3.0,335.0,369.0,all wheel drive,automatic,Convertible,2,4,51.8545,30.0,26.4,36.0,301.4,411.0
140,BMW 2 Series Gran Coupe 228i xDrive,37500,Unleaded,2.0,228.0,258.0,all wheel drive,automatic,Saloon,4,5,49.961999999999996,32.4,27.599999999999998,39.6,303.6,435.6
141,BMW 2 Series Gran Coupe M235i xDrive,45500,Unleaded,2.0,301.0,332.0,all wheel drive,automatic,Saloon,4,5,49.961999999999996,31.2,27.599999999999998,38.4,303.6,422.4
142,BMW 3 Series 330i,40750,Unleaded,2.0,255.0,295.0,rear wheel drive,automatic,Saloon,4,5,59.046,36.0,31.2,43.199999999999996,405.6,561.6
143,BMW 3 Series 330i xDrive,42750,Unleaded,2.0,255.0,295.0,all wheel drive,automatic,Saloon,4,5,59.046,33.6,30.0,40.8,390.0,530.4
144,BMW 3 Series M340i,54000,Unleaded,3.0,382.0,369.0,rear wheel drive,automatic,Saloon,4,5,59.046,30.0,26.4,36.0,343.2,468.0
145,BMW 3 Series M340i xDrive,56000,Unleaded,3.0,382.0,369.0,all wheel drive,automatic,Saloon,4,5,59.046,30.0,26.4,36.0,343.2,468.0
146,BMW 4 Series 430i,53100,Unleaded,2.0,248.0,258.0,rear wheel drive,automatic,Convertible,2,4,59.803000000000004,32.4,27.599999999999998,40.8,363.4,537.2
147,BMW 4 Series 430i,44950,Unleaded,2.0,248.0,258.0,rear wheel drive,automatic,Coupe,2,4,59.803000000000004,32.4,28.799999999999997,40.8,379.2,537.2
148,BMW 4 Series 430i xDrive,55100,Unleaded,2.0,248.0,258.0,all wheel drive,automatic,Convertible,2,4,59.803000000000004,31.2,26.4,38.4,347.6,505.6
149,BMW 4 Series 430i xDrive,46950,Unleaded,2.0,248.0,258.0,all wheel drive,automatic,Coupe,2,4,59.803000000000004,28.799999999999997,25.2,37.199999999999996,331.8,489.8
150,BMW 4 Series 440i,51350,Unleaded,3.0,320.0,330.0,rear wheel drive,automatic,Coupe,2,4,59.803000000000004,26.4,22.8,32.4,300.2,426.6
151,BMW 4 Series 440i,60150,Unleaded,3.0,320.0,330.0,rear wheel drive,automatic,Convertible,2,4,59.803000000000004,28.799999999999997,26.4,34.8,347.6,458.2
152,BMW 4 Series 440i xDrive,53350,Unleaded,3.0,320.0,330.0,all wheel drive,automatic,Coupe,2,4,59.803000000000004,25.2,21.599999999999998,33.6,284.4,442.4
153,BMW 4 Series 440i xDrive,62150,Unleaded,3.0,320.0,330.0,all wheel drive,automatic,Convertible,2,4,59.803000000000004,27.599999999999998,24.0,33.6,316.0,442.4
154,BMW 4 Series M4,103100,Unleaded,3.0,454.0,442.0,rear wheel drive,automatic,Coupe,2,4,59.803000000000004,22.8,20.4,27.599999999999998,268.6,363.4
155,BMW 4 Series M4,77650,Unleaded,3.0,425.0,406.0,rear wheel drive,manual,Convertible,2,4,59.803000000000004,24.0,20.4,30.0,268.6,395.0
156,BMW 4 Series M4,69150,Unleaded,3.0,425.0,406.0,rear wheel drive,manual,Coupe,2,4,59.803000000000004,24.0,21.599999999999998,30.0,284.4,395.0
