,User,Requirements
24,25,"['Pick-up Truck', 'Economical', '7-seater', 'Very high power', 'Short range', 'manual', 'Larger Engine', 'Expensive']"
25,26,"['Coupe', '4-doored', 'Very long range', 'automatic', 'Diesel', '5-seater', 'Economical', 'Average Sized Engine', 'Cheap']"
26,27,"['Economical', 'Average power', 'Very long range', 'Larger Engine', 'manual', '3-doored']"
27,28,"['Lower power', 'automatic', 'Average Priced']"
28,29,"['High power', 'Economical', 'Hatchback']"
29,30,"['5-seater', 'Lower power', 'Cheap', 'Ext Van', '2-doored', 'manual', 'Diesel', 'Economical', 'Very long range']"
30,31,"['High power', 'Economical', '2-doored', 'Convertible', 'Cheap', 'Very long range', 'Unleaded', 'automatic']"
31,32,"['3-doored', 'Larger Engine', 'Very high power', 'Diesel']"
32,33,"['automatic', '7-seater', 'Passenger Van', 'Diesel', 'Larger Engine', 'Average range', 'Average Priced', 'Economical', 'Very high power']"
33,34,"['Average Sized Engine', 'Average power', 'Unleaded', 'automatic']"
34,35,"['Minivan', '3-doored', 'Very high power', 'Unleaded', 'Economical', 'Average Sized Engine', '9-seater', 'manual', 'Cheap', 'Very long range']"
35,36,"['Saloon', 'Diesel', 'Very high power', '6-seater']"
36,37,"['4-doored', 'Diesel']"
37,38,"['3-doored', 'Long range', 'manual', '2-seater', 'High power', 'Unleaded', 'Economical', 'Minivan', 'Average Priced']"
38,39,"['Economical', 'Unleaded', 'Average power', '2-doored', 'Very long range', 'Average Priced', 'Hatchback', '6-seater', 'Larger Engine']"
39,40,"['Average range', 'Economical', 'Average power', 'SUV', 'Diesel', 'manual', 'Small Engine', '9-seater', 'Average Priced']"
40,41,"['Long range', 'High power', 'manual', 'Diesel', 'Ext Van', '6-seater']"
41,42,"['Expensive', 'Economical', '2-seater', 'Diesel', 'Ext Van', '5-doored', 'Larger Engine']"
42,43,"['Unleaded', 'Expensive']"
43,44,"['automatic', 'Average Sized Engine', 'Economical', '2-doored', 'Cheap']"
44,45,"['2-doored', 'Larger Engine', 'Diesel', 'Economical', 'Average Priced', 'Van', 'manual', 'High power']"
45,46,"['9-seater', 'manual', 'Convertible', 'Small Engine', 'Unleaded', 'Average power']"
46,47,"['automatic', 'Larger Engine', '2-doored', 'Very high power', 'Average Priced']"
47,48,"['Economical', 'Average Priced', 'manual', 'Short range', 'Larger Engine', 'Very high power', 'Unleaded', '5-seater', 'Estate', '3-doored']"
48,49,"['Diesel', 'Larger Engine', 'Average Priced', '5-seater', 'High power', '2-doored']"
49,50,"['8-seater', 'High power']"
50,51,"['Larger Engine', 'High power', 'Cheap', 'manual', 'Short range', '7-seater', 'Hatchback', '5-doored', 'Economical']"
51,52,"['Diesel', 'Lower power', '3-doored', 'Larger Engine', 'manual', 'Average Priced', '5-seater', 'Economical']"
52,53,"['Diesel', 'automatic', 'Long range', '9-seater', 'Very high power']"
53,54,"['4-seater', 'Coupe', 'automatic', 'Unleaded', 'Economical', 'Cheap', 'Average Sized Engine', 'Long range']"
54,55,"['Average Sized Engine', 'Average Priced', '6-seater', 'Lower power', 'automatic', 'Economical', 'Hatchback']"
55,56,"['automatic', 'Larger Engine', 'Economical', '2-doored', 'Hatchback', '4-seater', 'Cheap', 'High power', 'Short range']"
56,57,"['Very long range', 'Economical']"
57,58,"['4-doored', 'manual', 'SUV', 'Very high power', 'Short range', 'Economical']"
58,59,"['Economical', 'automatic', 'High power', '6-seater', 'Average Sized Engine', 'Unleaded', 'Cheap', 'Average range']"
59,60,"['Unleaded', '5-doored', 'manual', 'Passenger Van', 'Average Priced', 'Very long range', 'Average Sized Engine', '4-seater']"
60,61,"['automatic', 'Very high power', '4-doored', 'Very long range']"
61,62,"['Long range', 'Small Engine', 'automatic']"
62,63,"['Short range', '3-doored', 'Average Priced', 'manual', 'Van', '6-seater']"
63,64,"['Long range', '5-doored', 'High power', 'Pick-up Truck', 'Cheap', 'Economical', 'Diesel', 'Average Sized Engine', 'manual']"
64,65,"['Cheap', 'manual']"
65,66,"['Unleaded', 'Ext Van', 'Very long range', 'Economical', 'automatic']"
66,67,"['5-doored', 'automatic', 'Average Priced', 'Van', '8-seater', 'Unleaded', 'Long range']"
67,68,"['Average power', 'Short range', 'Economical', '4-doored', 'Van']"
68,69,"['3-doored', 'High power']"
69,70,"['Average range', 'Lower power', 'Economical', 'automatic']"
70,71,"['3-seater', '2-doored']"
71,72,"['Minivan', 'manual']"
72,73,"['6-seater', 'manual', 'Unleaded', 'Average power', 'Van']"
73,74,"['Long range', 'Diesel', 'Economical', '2-seater', 'Hatchback', 'Average Priced', '3-doored', 'Average power']"
74,75,"['automatic', 'Small Engine']"
75,76,"['SUV', 'Average range', 'automatic']"
76,77,"['Cheap', 'Small Engine', 'Convertible', 'Economical', 'Diesel', 'automatic', 'Average range', '2-doored', 'Very high power']"
77,78,"['Cheap', '8-seater']"
78,79,"['Estate', '5-doored', 'Very long range', 'Average power', 'Economical', 'manual']"
79,80,"['Economical', 'Average Sized Engine', 'Diesel']"
80,81,"['Convertible', '6-seater', 'Economical']"
81,82,"['Lower power', 'Unleaded', 'Small Engine', '5-doored', 'manual', 'Economical', 'Long range', 'Expensive', '3-seater', 'Convertible']"
82,83,"['Average Priced', 'High power']"
83,84,"['Convertible', 'Small Engine', 'Unleaded', '4-doored', 'Average Priced', 'Long range', 'automatic']"
84,85,"['8-seater', 'Coupe', 'Average Sized Engine', 'Diesel', 'Average Priced', 'Long range']"
85,86,"['manual', 'Expensive', 'Economical', 'Larger Engine']"
86,87,"['Economical', 'Small Engine', '6-seater', 'Expensive', 'Short range', 'Very high power', 'manual', 'Diesel', 'Ext Van']"
87,88,"['Van', '7-seater', 'Economical', 'Long range', 'Diesel']"
88,89,"['Ext Van', 'Average Sized Engine', 'Economical', 'Very long range', 'automatic', 'High power', 'Unleaded', '2-seater']"
89,90,"['3-seater', 'manual', 'Larger Engine', 'Average Priced', 'Unleaded', 'Very long range', '4-doored', 'Saloon']"
90,91,"['Convertible', '5-seater', '2-doored']"
91,92,"['3-doored', '3-seater', 'High power', 'Expensive', 'Short range', 'Economical', 'Small Engine', 'Diesel']"
92,93,"['automatic', 'Larger Engine', '5-seater', '3-doored']"
93,94,"['Average range', 'Expensive', '2-doored', 'Diesel', 'Estate', '3-seater', 'manual', 'High power', 'Small Engine', 'Economical']"
94,95,"['Larger Engine', '4-doored', 'Average Priced', 'Very long range', 'Economical', 'Passenger Van', 'Unleaded', 'automatic', 'Lower power', '2-seater']"
95,96,"['Minivan', 'Average Sized Engine', 'Diesel', 'High power', 'automatic', 'Expensive', '4-doored']"
96,97,"['4-doored', 'automatic', 'Diesel', 'Estate']"
97,98,"['7-seater', '4-doored', 'Coupe', 'Average range', 'Average power', 'Average Priced', 'Small Engine', 'automatic', 'Economical']"
98,99,"['Unleaded', 'Small Engine']"
99,100,"['Economical', 'Pick-up Truck', 'Larger Engine', 'High power']"
100,101,"['Small Engine', '9-seater', 'Cheap', 'High power', 'Economical', 'automatic', 'Short range', 'Convertible', 'Diesel']"
101,102,"['Unleaded', 'Average range']"
102,103,"['2-doored', 'Average Sized Engine', 'Very high power', 'automatic']"
103,104,"['Pick-up Truck', 'automatic', 'Very high power', 'Unleaded', '2-doored', '2-seater', 'Economical', 'Short range']"
104,105,"['manual', 'Very long range', '3-doored', 'Larger Engine', '8-seater', 'Convertible', 'Unleaded', 'Lower power', 'Economical', 'Average Priced']"
105,106,"['2-doored', '3-seater', 'Lower power', 'Diesel', 'automatic', 'Economical']"
106,107,"['Cheap', 'automatic']"
107,108,"['Long range', 'Economical', 'Unleaded', 'automatic', '4-doored']"
108,109,"['Economical', 'Diesel', '9-seater', '5-doored']"
109,110,"['Cheap', 'Pick-up Truck', 'manual', 'Economical', '4-doored', 'Average power', 'Average range', 'Small Engine', 'Unleaded']"
110,111,"['Long range', 'SUV', 'Economical', '6-seater', 'Unleaded', 'Average Sized Engine', '3-doored', 'manual', 'Very high power']"
111,112,"['Expensive', 'Economical', '5-doored', 'Long range', 'Average Sized Engine', 'Unleaded', '2-seater', 'automatic']"
112,113,"['automatic', '8-seater', 'Cheap', 'Very high power', 'Larger Engine', 'Saloon', 'Diesel', '3-doored', 'Economical']"
113,114,"['Economical', 'Unleaded', 'Average range', 'Saloon', '5-doored', '2-seater', 'Cheap', 'manual']"
114,115,"['Small Engine', '2-doored', 'manual', 'Expensive', 'Unleaded']"
115,116,"['2-seater', '3-doored', 'Cheap']"
116,117,"['Very high power', '4-doored', 'Long range', 'Economical', 'automatic', 'Cheap', 'Coupe', '8-seater', 'Average Sized Engine']"
117,118,"['3-doored', 'Average range', 'Economical', 'Unleaded', 'Larger Engine', 'Average power', 'Average Priced', 'Saloon', 'manual', '2-seater']"
118,119,"['7-seater', 'Pick-up Truck', 'Average range', '4-doored', 'Average Sized Engine', 'Cheap', 'Lower power', 'automatic', 'Economical']"
119,120,"['Economical', 'Small Engine', '2-doored']"
120,121,"['Average Sized Engine', 'Cheap', 'Minivan', 'Long range', '8-seater', '3-doored', 'manual']"
121,122,"['Cheap', '4-doored', '7-seater', 'Long range', 'Lower power', 'Pick-up Truck', 'Economical']"
122,123,"['3-doored', 'Short range']"
123,124,"['SUV', '5-doored', 'Very long range', 'Small Engine']"
124,125,"['Expensive', 'Larger Engine', 'Coupe', 'Average power', 'Diesel', 'Long range', '5-doored']"
125,126,"['Short range', 'Diesel', 'automatic', 'Hatchback', 'Expensive', '6-seater', 'Economical']"
126,127,"['5-doored', 'Economical', 'manual', 'Small Engine', 'Coupe']"
127,128,"['Small Engine', 'Ext Van']"
128,129,"['2-seater', 'Lower power', 'Diesel', 'automatic', 'Economical']"
129,130,"['7-seater', 'automatic', '5-doored']"
130,131,"['Economical', '4-doored', 'Short range']"
131,132,"['Unleaded', 'Estate']"
132,133,"['5-seater', 'Diesel', 'Economical', 'Average Priced', 'manual', 'Convertible', 'Short range']"
133,134,"['Small Engine', 'Very long range', '9-seater', 'Passenger Van', 'High power']"
134,135,"['automatic', 'Estate', 'Very high power', '8-seater', 'Economical', 'Average range', '5-doored', 'Diesel', 'Small Engine']"
135,136,"['Convertible', '3-doored', 'Very long range']"
136,137,"['4-doored', 'Very high power', 'Average Priced', 'manual', 'Larger Engine', 'Estate', 'Unleaded', 'Long range']"
137,138,"['manual', '3-doored', '9-seater', 'Economical', 'Cheap', 'High power', 'Passenger Van', 'Very long range', 'Small Engine', 'Diesel']"
138,139,"['Cheap', '4-doored', 'Small Engine', 'Economical', 'Passenger Van', 'Average power', 'Diesel']"
139,140,"['Unleaded', '5-seater']"
140,141,"['Lower power', 'Small Engine', 'Average Priced', 'Van', '7-seater', 'Long range', 'Economical', '5-doored', 'automatic', 'Unleaded']"
141,142,"['Economical', '3-seater']"
142,143,"['Average Sized Engine', 'Cheap', '3-doored']"
143,144,"['5-doored', 'Expensive', '6-seater', 'Long range']"
144,145,"['Average Sized Engine', '5-seater', 'Unleaded', 'Average Priced', 'automatic']"
145,146,"['2-seater', 'Long range', 'Unleaded', 'Hatchback', 'Economical']"
146,147,"['Larger Engine', 'automatic', 'Expensive', '4-doored', '5-seater', 'Economical', 'Average power', 'Pick-up Truck', 'Unleaded', 'Short range']"
147,148,"['Pick-up Truck', 'Very high power', '2-seater', 'automatic', 'Cheap', 'Unleaded', 'Larger Engine', '3-doored', 'Economical', 'Very long range']"
148,149,"['SUV', 'High power', '3-doored', '4-seater', 'Average range']"
149,150,"['manual', 'Cheap']"
150,151,"['6-seater', 'Small Engine']"
151,152,"['Unleaded', 'manual']"
152,153,"['2-doored', 'Average range', 'Expensive', 'automatic', 'Very high power']"
153,154,"['Unleaded', 'Small Engine', '5-doored', '4-seater', 'Coupe', 'Economical', 'Cheap', 'Very long range', 'manual', 'Average power']"
154,155,"['Economical', 'Lower power', 'automatic', 'Small Engine', '5-doored', 'SUV', 'Average Priced', '8-seater', 'Diesel']"
155,156,"['Economical', 'Cheap']"
156,157,"['Average Sized Engine', 'Convertible', 'Economical', 'Cheap', 'Lower power', 'Unleaded']"
157,158,"['manual', '8-seater', 'Very long range', 'High power', '5-doored']"
158,159,"['Long range', '5-doored']"
159,160,"['8-seater', 'Diesel', 'Short range', 'Expensive', 'Estate', 'Lower power', 'Larger Engine']"
160,161,"['Average range', '4-seater', 'Economical', 'Larger Engine', '2-doored']"
161,162,"['manual', 'Diesel', '6-seater', 'Economical', 'Ext Van', 'Cheap', 'Long range']"
162,163,"['manual', 'Coupe', 'Very long range', 'Economical', '4-seater', '4-doored', 'Diesel', 'Cheap']"
163,164,"['Unleaded', 'Average Sized Engine', '9-seater', 'Average range', 'Economical', 'manual', 'Van', '2-doored', 'Cheap', 'High power']"
164,165,"['Economical', 'Larger Engine', 'automatic', 'Diesel', 'Coupe']"
165,166,"['Average Priced', 'Average power', 'Diesel', '6-seater', 'Average Sized Engine']"
166,167,"['Unleaded', '2-doored', '7-seater', 'Small Engine', 'Long range', 'automatic', 'Average Priced']"
167,168,"['Average Sized Engine', 'High power', 'Cheap', '4-doored', '3-seater', 'Van', 'Economical']"
168,169,"['3-doored', 'Lower power', 'Average range', 'Hatchback', 'Unleaded', 'automatic', 'Small Engine', '2-seater', 'Average Priced']"
169,170,"['Unleaded', 'Pick-up Truck', 'manual', 'Short range', '8-seater', 'Average power', 'Average Priced']"
170,171,"['Economical', 'Lower power', 'Estate', '4-doored', 'manual', 'Average range', 'Expensive', 'Diesel', '6-seater', 'Average Sized Engine']"
171,172,"['Larger Engine', 'Very high power']"
172,173,"['Unleaded', 'Saloon', 'Average Priced', '5-doored', 'Lower power', 'Economical', 'Small Engine']"
173,174,"['automatic', 'Average power', 'Estate', 'Economical', 'Unleaded', 'Very long range', '2-doored', 'Average Sized Engine']"
174,175,"['automatic', 'Average power', 'Expensive', 'Short range', 'Hatchback', '5-doored', '7-seater']"
175,176,"['Convertible', '9-seater', 'Cheap', '2-doored', 'automatic', 'Economical', 'Diesel', 'Average Sized Engine', 'Short range']"
176,177,"['4-doored', 'automatic', 'Pick-up Truck', 'Unleaded']"
177,178,"['Economical', 'Unleaded', '9-seater', 'automatic', 'Lower power', 'Average Priced', 'Very long range', '2-doored', 'Ext Van']"
178,179,"['Diesel', 'Very long range', 'Lower power', 'manual', 'Economical']"
179,180,"['Pick-up Truck', 'manual', '6-seater', 'Average Sized Engine', '2-doored', 'Very long range', 'Unleaded', 'Economical']"
180,181,"['Average Priced', 'Very high power', 'Average Sized Engine', 'Very long range', 'Hatchback']"
181,182,"['Short range', 'Average Priced', 'automatic']"
182,183,"['Coupe', '7-seater', 'Average Sized Engine']"
183,184,"['Average power', 'Economical', 'Coupe', 'Very long range']"
184,185,"['High power', 'Cheap', 'automatic', 'Diesel', 'Economical', 'Very long range']"
185,186,"['Diesel', 'Cheap', '5-doored', 'automatic', 'Small Engine', 'High power', '3-seater', 'Economical', 'Ext Van', 'Average range']"
186,187,"['Economical', '8-seater', 'manual', 'Average range', '4-doored']"
187,188,"['Long range', 'Larger Engine', '3-seater', 'Unleaded', 'manual']"
188,189,"['manual', 'Pick-up Truck', 'Average range', 'Diesel', 'High power', 'Economical']"
189,190,"['7-seater', '3-doored', 'Unleaded', 'Lower power']"
190,191,"['automatic', 'Average range', '4-doored', 'Coupe', 'Lower power', 'Diesel', 'Larger Engine', '2-seater', 'Economical']"
191,192,"['Lower power', 'Economical', 'Expensive', 'Average range', 'manual', 'Pick-up Truck', 'Small Engine']"
192,193,"['Average Sized Engine', '4-doored', 'Diesel', 'Average power', 'Average range', 'Passenger Van', 'Expensive', '7-seater', 'Economical', 'automatic']"
193,194,"['manual', 'Short range']"
194,195,"['automatic', 'High power', 'Long range', '3-doored', 'Unleaded', 'Cheap', 'Economical', 'Minivan']"
195,196,"['Ext Van', 'Diesel', 'Cheap', 'manual', 'Lower power', 'Economical', '6-seater', 'Small Engine', '2-doored']"
196,197,"['Very long range', 'Unleaded', 'Hatchback', '3-doored', 'Larger Engine', '8-seater']"
197,198,"['4-doored', '5-seater', 'Economical', 'automatic', 'Short range', 'High power', 'Larger Engine', 'Unleaded', 'Expensive']"
198,199,"['Small Engine', 'Lower power', '2-doored', '8-seater', 'Cheap', 'SUV', 'manual']"
199,200,"['8-seater', 'Long range', 'automatic']"
200,201,"['Diesel', 'High power', '2-doored', 'manual', 'Short range', 'Economical']"
201,202,"['Long range', 'Economical', 'Diesel', '4-seater']"
202,203,"['5-doored', 'manual', 'Economical', 'Average range', '6-seater', 'Lower power']"
203,204,"['Average power', 'Long range', 'Diesel']"
204,205,"['7-seater', 'Average range', 'Hatchback', 'manual', 'Expensive', 'Economical']"
205,206,"['Larger Engine', 'Diesel', 'Short range', 'manual', '3-doored', 'Economical', 'Average power']"
206,207,"['Average Priced', 'Small Engine', 'Economical', '8-seater', 'Short range', 'High power', 'automatic']"
207,208,"['Lower power', 'Saloon']"
208,209,"['Economical', 'Unleaded', 'Lower power', 'Long range', 'Small Engine', 'Average Priced', '4-doored', 'Ext Van', '9-seater', 'automatic']"
209,210,"['Average Sized Engine', '3-doored', 'Pick-up Truck', 'Diesel', 'Long range', 'Economical', '2-seater', 'Average Priced']"
210,211,"['Economical', 'Unleaded', 'Minivan', 'Lower power', 'Expensive', 'Short range']"
211,212,"['Cheap', 'Economical', 'Diesel']"
212,213,"['Larger Engine', 'Economical', 'Estate', 'Diesel']"
213,214,"['manual', 'Average power', 'Economical', 'Cheap', 'Estate', 'Average Sized Engine', '2-seater']"
214,215,"['Average range', '2-doored']"
215,216,"['Unleaded', '7-seater', 'Very high power', 'Larger Engine', 'manual', 'Cheap', 'Economical', 'Very long range']"
216,217,"['2-seater', 'Economical', 'Cheap', 'Short range', 'Lower power', '3-doored', 'automatic', 'Larger Engine', 'Diesel']"
217,218,"['Unleaded', 'High power', '4-doored', 'Economical', '8-seater', 'Small Engine', 'automatic', 'Long range', 'Van']"
218,219,"['Diesel', '2-seater', 'Expensive', 'Short range', 'Larger Engine', 'Very high power', 'automatic', 'Economical', 'Pick-up Truck', '4-doored']"
219,220,"['7-seater', 'Small Engine', 'Pick-up Truck', 'Unleaded', 'Economical', '2-doored', 'automatic', 'Very long range', 'Very high power', 'Average Priced']"
220,221,"['Diesel', 'Larger Engine', 'Van']"
221,222,"['Short range', 'Economical', 'Expensive', '9-seater', 'High power', 'Average Sized Engine', 'Ext Van', '5-doored', 'Diesel', 'automatic']"
222,223,"['8-seater', 'Economical', 'High power', 'Estate', 'Diesel']"
223,224,"['Unleaded', '4-doored', 'manual', 'Small Engine']"
224,225,"['Van', 'Larger Engine']"
225,226,"['Economical', 'Average range', '5-doored']"
226,227,"['Diesel', 'Average Sized Engine', 'Average range']"
227,228,"['automatic', 'Diesel', '7-seater', 'Larger Engine', 'Cheap', '5-doored', 'Short range']"
228,229,"['Larger Engine', 'Economical', 'automatic', 'Unleaded', 'Long range', '9-seater', 'Passenger Van', 'Average Priced', '5-doored']"
229,230,"['Expensive', '2-doored', 'Small Engine', 'Unleaded']"
230,231,"['8-seater', '4-doored', 'Diesel', 'Long range', 'Very high power', 'manual', 'Economical', 'Cheap', 'Saloon', 'Average Sized Engine']"
231,232,"['Average Priced', 'Diesel']"
232,233,"['Economical', 'Passenger Van']"
233,234,"['Short range', 'Larger Engine', 'Minivan', '3-doored', '3-seater', 'Economical']"
234,235,"['Diesel', 'Economical', '3-doored']"
235,236,"['3-doored', 'High power', 'Diesel', '3-seater', 'Average range', 'Economical']"
236,237,"['Small Engine', '9-seater']"
237,238,"['8-seater', 'Economical', 'SUV', 'Cheap', 'automatic']"
238,239,"['Economical', 'Long range']"
239,240,"['Long range', '9-seater', 'Van', 'Economical', 'Diesel', 'Lower power', '5-doored']"
240,241,"['Average Sized Engine', 'Very high power', 'manual', 'Cheap', 'Unleaded', '2-doored', '9-seater', 'Passenger Van', 'Short range']"
241,242,"['Average range', '5-doored', 'Economical', 'Average Sized Engine', 'Convertible']"
242,243,"['4-doored', 'Small Engine', 'automatic', 'Lower power', '6-seater', 'Diesel']"
243,244,"['manual', 'Very long range', 'Economical', '2-doored', 'Diesel', '2-seater', 'High power', 'Small Engine', 'Expensive']"
244,245,"['Van', 'Diesel', 'automatic', '4-seater', 'Lower power', 'Short range', '5-doored', 'Economical', 'Cheap', 'Larger Engine']"
245,246,"['3-doored', 'Van', '3-seater', 'Very high power', 'manual', 'Unleaded', 'Economical', 'Average Priced']"
246,247,"['automatic', 'Diesel', '5-seater', 'High power', 'Short range', '2-doored', 'Economical', 'Expensive', 'Saloon', 'Average Sized Engine']"
247,248,"['Small Engine', '4-seater', 'Average power', '4-doored', 'Pick-up Truck', 'Diesel', 'Average Priced', 'Short range', 'Economical']"
248,249,"['Economical', 'Diesel', 'Short range', '4-doored', 'Coupe']"
249,250,"['Diesel', 'Estate']"
